subject,status,zero_shot_acc_pct,zero_shot_balanced_pct,zero_shot_kappa,after_calib_acc_pct,after_calib_balanced_pct,after_calib_kappa,delta_calib_minus_zero_pct,bucket_zero_shot
002,done,46.88,50.00,0.000,51.56,52.08,0.040,+4.68,hard (<50%)
003,done,70.31,68.75,0.380,46.88,45.83,-0.080,-23.43,easy (>=70%)
004,done,42.19,39.58,-0.210,51.56,52.08,0.040,+9.37,hard (<50%)
005,done,57.81,56.25,0.130,50.00,47.92,-0.040,-7.81,mid (50-60%)
006,done,57.81,56.25,0.130,60.94,60.42,0.210,+3.13,mid (50-60%)
007,done,81.25,79.17,0.580,82.81,81.25,0.630,+1.56,easy (>=70%)
008,done,54.69,54.17,0.080,53.13,52.08,0.040,-1.56,mid (50-60%)
009,done,46.88,47.92,-0.040,42.19,41.67,-0.170,-4.69,hard (<50%)
011,done,54.69,54.17,0.080,51.56,47.92,-0.040,-3.13,mid (50-60%)
012,done,53.13,52.08,0.040,43.75,41.67,-0.170,-9.38,mid (50-60%)
013,done,60.94,58.33,0.170,48.44,50.00,0.000,-12.50,ok (60-70%)
014,done,50.00,43.75,-0.130,40.63,43.75,-0.130,-9.37,mid (50-60%)
015,done,43.75,41.67,-0.170,42.19,43.75,-0.130,-1.56,hard (<50%)
019,done,35.94,37.50,-0.250,59.38,60.42,0.210,+23.44,hard (<50%)
020,done,43.75,45.83,-0.080,53.13,52.08,0.040,+9.38,hard (<50%)
021,done,62.50,60.42,0.210,64.06,64.58,0.290,+1.56,ok (60-70%)
022,done,51.56,52.08,0.040,53.13,52.08,0.040,+1.57,mid (50-60%)
023,done,59.38,56.25,0.130,57.81,52.08,0.040,-1.57,mid (50-60%)
024,done,67.19,66.67,0.330,59.38,56.25,0.130,-7.81,ok (60-70%)
025,done,53.13,50.00,0.000,45.31,45.83,-0.080,-7.82,mid (50-60%)
026,done,68.75,66.67,0.330,87.50,87.50,0.750,+18.75,ok (60-70%)
028,done,62.50,60.42,0.210,56.25,54.17,0.080,-6.25,ok (60-70%)
029,done,79.69,77.08,0.540,93.75,91.67,0.830,+14.06,easy (>=70%)
031,done,59.38,64.58,0.290,64.06,68.75,0.380,+4.68,mid (50-60%)
032,done,57.81,56.25,0.130,56.25,56.25,0.130,-1.56,mid (50-60%)
033,done,42.19,43.75,-0.130,51.56,52.08,0.040,+9.37,hard (<50%)
036,done,50.00,52.08,0.040,48.44,47.92,-0.040,-1.56,mid (50-60%)
041,done,57.81,56.25,0.130,59.38,58.33,0.170,+1.57,mid (50-60%)
042,done,56.25,56.25,0.130,29.69,31.25,-0.380,-26.56,mid (50-60%)
043,done,43.75,45.83,-0.080,48.44,50.00,0.000,+4.69,hard (<50%)
045,done,45.31,45.83,-0.080,50.00,45.83,-0.080,+4.69,hard (<50%)
046,done,50.00,50.00,0.000,60.94,62.50,0.250,+10.94,mid (50-60%)
047,done,70.31,68.75,0.380,78.13,81.25,0.630,+7.82,easy (>=70%)
048,done,73.44,72.92,0.460,85.94,87.50,0.750,+12.50,easy (>=70%)
050,done,64.06,62.50,0.250,45.31,45.83,-0.080,-18.75,ok (60-70%)
051,done,81.25,81.25,0.630,79.69,81.25,0.630,-1.56,easy (>=70%)
052,done,56.25,54.17,0.080,46.88,50.00,0.000,-9.37,mid (50-60%)
053,done,62.50,62.50,0.250,62.50,64.58,0.290,+0.00,ok (60-70%)
055,done,48.44,45.83,-0.080,50.00,50.00,0.000,+1.56,hard (<50%)
056,done,43.75,43.75,-0.130,46.88,47.92,-0.040,+3.13,hard (<50%)
059,running,48.44,50.00,0.000,,,,,hard (<50%)
